L'automnale 30/10/2021
challenge
10.4 km 
0985230 0h33m34s 
1001400 0h36m39s 
1055381 0h36m52s 
1068322 0h38m13s 
1496794 0h38m19s 
1575734 0h38m26s 
1576032 0h38m44s 
1579027 0h39m0s 
1611062 0h39m21s 
1628064 0h39m27s 
1702625 0h39m54s 
1757676 0h40m0s 
1785524 0h40m2s 
1810186 0h40m2s 
1839708 0h40m44s 
1859500 0h40m50s 
1918331 0h41m9s 
1946533 0h41m19s 
1948015 0h41m29s 
2032539 0h41m45s 
2057657 0h41m45s 
2152062 0h41m53s 
2168656 0h41m56s 
2210038 0h42m0s 
2225619 0h42m26s 
2261491 0h42m27s 
2263300 0h42m28s 
2344645 0h42m39s 
2379299 0h42m58s 
2412983 0h43m3s 
2474881 0h43m4s 
2755495 0h43m5s 
2784139 0h43m15s 
2795061 0h43m18s 
2806954 0h43m31s 
2842512 0h43m56s 
2890248 0h44m3s 
2897050 0h44m39s 
3112553 0h44m39s 
3125170 0h44m39s 
3126428 0h44m39s 
3209360 0h44m46s 
3306849 0h44m46s 
3322297 0h44m48s 
3437910 0h44m49s 
3640078 0h45m11s 
3690334 0h45m11s 
3697906 0h45m13s 
3716126 0h45m20s 
3736124 0h45m20s 
3755702 0h45m24s 
3757724 0h45m45s 
3816411 0h45m53s 
3845273 0h46m18s 
3896223 0h46m25s 
3909605 0h46m29s 
3951015 0h46m30s 
3969690 0h46m32s 
4033492 0h46m32s 
4103663 0h46m36s  
4250450 0h47m13s 
4360578 0h47m19s 
4361633 0h47m21s 
4458198 0h47m24s 
4475079 0h47m30s 
4539387 0h47m32s 
4622123 0h47m32s 
4625124 0h47m33s 
4671127 0h47m33s 
4699037 0h47m34s 
4986604 0h47m35s 
5007176 0h47m38s 
5017651 0h47m40s 
5032770 0h47m40s 
5094490 0h47m44s 
5139402 0h47m49s 
5151005 0h47m50s 
5157721 0h47m57s 
5312758 0h48m3s  
5427322 0h48m7s 
5427388 0h48m8s 
5451112 0h48m9s 
5552868 0h48m11s 
5564017 0h48m16s 
5609917 0h48m30s 
5631916 0h48m49s 
5675473 0h48m49s 
5728960 0h48m50s 
5773768 0h48m54s 
5792123 0h48m58s 
5799840 0h49m5s 
5800650 0h49m22s 
5877576 0h49m24s 
5890068 0h49m32s 
5897820 0h49m32s 
6319345 0h49m33s 
6443964 0h49m39s 
6528435 0h49m40s 
6565307 0h49m41s 
6565508 0h49m43s 
6712007 0h49m44s 
6729148 0h49m45s 
6734221 0h49m53s 
6735150 0h49m55s 
6939870 0h50m7s 
7031910 0h50m8s 
7033921 0h50m16s 
7066709 0h50m26s 
7094468 0h50m26s 
7132059 0h50m37s 
7148558 0h50m42s 
7153562 0h50m46s 
7184269 0h50m47s 
7186366 0h50m56s 
7199434 0h51m6s 
7218739 0h51m18s 
7297500 0h51m25s 
7341621 0h51m25s 
7345174 0h51m27s 
7351478 0h51m28s 
7362242 0h51m28s 
7375470 0h51m30s  
7481472 0h51m35s 
7482020 0h51m37s 
7489038 0h51m38s 
7564545 0h51m43s 
7588479 0h51m47s 
7631720 0h51m56s 
7642459 0h51m59s 
7758095 0h52m1s  
7987353 0h52m2s 
7992903 0h52m3s 
8017579 0h52m14s 
8022720 0h52m17s 
8026179 0h52m30s 
8223118 0h52m31s 
8252434 0h52m32s 
8282687 0h52m32s
